Book_Id,ISBN,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
34128219,375815309,0,,25/09/2019,to-read,to-read,,,,0,
23446943,62386247,4,24/09/2019,31/07/2019,,read,,,,1,
18090079,62237187,3,22/09/2019,19/09/2019,,read,,,,1,
41015154,,0,,19/09/2019,to-read,to-read,,,,0,
36260006,734418221,4,,19/09/2019,,read,,,,1,
33783451,62678809,4,,31/07/2019,,read,,,,1,
25832693,,4,13/09/2019,31/07/2019,,read,,,,1,
30255946,62386239,4,1/09/2019,28/08/2019,,read,,,,1,
31824789,,4,28/08/2019,21/08/2019,,read,,,,1,
41028172,,4,16/08/2019,9/08/2019,,read,,,,1,
38359036,006287067X,5,8/08/2019,2/08/2019,library,read,,,,1,
35057183,,0,,23/06/2018,"library, dnf",dnf,"I gave up, there are too many good books out there and this one just doesn't do it for me.",,,0,
40133569,,4,2/08/2019,31/07/2019,library,read,,,,1,
41571059,62859862,0,,31/07/2019,to-read,to-read,,,,0,
8779525,,0,,31/07/2019,to-read,to-read,,,,0,
22082598,,0,,31/07/2019,to-read,to-read,,,,0,
15768152,62236997,0,,31/07/2019,to-read,to-read,,,,0,
13426049,62015729,0,,31/07/2019,to-read,to-read,,,,0,
10650911,62015702,0,,31/07/2019,to-read,to-read,,,,0,
7882231,61791784,0,,31/07/2019,to-read,to-read,,,,0,
6093438,61791768,0,,31/07/2019,to-read,to-read,,,,0,
34219873,316439959,4,29/07/2019,19/10/2017,library,read,,,,1,
35068752,62678736,4,,25/07/2019,library,read,,,,1,
40733925,,4,,21/07/2019,library,read,,,,1,
25758373,1447298314,3,18/07/2019,15/07/2019,library,read,,,,1,
41504473,,3,13/07/2019,7/07/2019,library,read,,,,1,
27213184,62386271,4,7/07/2019,4/07/2019,library,read,,,,1,
17331392,62237179,4,,4/07/2019,library,read,,,,1,
23123223,B009HX98X6,0,,1/07/2019,to-read,to-read,,,,0,
17675042,525953620,3,,30/06/2019,library,read,,,,2,
43371944,,4,23/06/2019,30/04/2019,library,read,"I am very much enjoying this series about Hugh Monsarrat and his friend/ housekeeper Hannah Mulrooney, both of them having been sent to New South Wales as convicts. This book, the fourth in the series, is essentially about freedom of the press, a very timely subject for discussion in our country at the moment. I highly recommend this series for anyone interested in the early history of Australia and also anyone who enjoys a good story involving crime in a historical setting.",,,1,
24493711,552166391,0,,19/06/2019,to-read,to-read,,,,0,
29248613,1743534906,0,,19/06/2019,to-read,to-read,,,,0,
18747669,7419597,4,,19/06/2019,library,read,,,,1,
25666052,1250080932,5,,28/02/2016,library-ebook,read,,,,1,
36137547,006267885X,4,3/06/2019,30/05/2019,library,read,,,,1,
18145833,7419570,4,30/05/2019,24/05/2019,library,read,,,,1,
38587286,,3,23/05/2019,20/05/2019,,read,,,,1,
21936820,62237209,4,20/05/2019,17/05/2019,,read,,,,1,
44437338,765398516,4,17/05/2019,10/05/2019,library,read,,,,1,
16284946,1781320578,0,,4/03/2019,"kindle, to-read",to-read,,,,0,
35018916,765398486,4,6/05/2019,31/03/2019,kindle,read,,,,1,
41212776,62841106,0,,30/04/2019,to-read,to-read,,,,0,
36794604,,4,30/04/2019,23/04/2019,library,read,"I'm enjoying this series about Hugh Monsarrat and his adventures in the colonies. This one takes him to Maria Island of the coast of Tasmania to solve the murder of the bosun, the operator of the island's only boat. I've always been keen on history and found this look at the notorious island very interesting. I know the authors took some liberties with the strict historical setting but it is a novel so that's not really a problem. I recommend this book but do read the series in order, it will make it more enjoyable.",,,1,
29093246,399574700,4,22/04/2019,20/04/2019,library,read,,,,1,
35690767,1925498883,5,20/04/2019,9/01/2018,library,read,"I've only recently discovered Garry Disher's books, this is the third I've read, and I wonder how that happened. <br/>This book is about Alan Auhl, a police sergeant brought back to work cold cases, which seems to be a popular theme. Auhl investigates several cases, and brings his own unique ways of dealing with them. Highly recommended.",,,1,
34019122,399593519,4,16/04/2019,30/10/2018,kindle,read,,,,1,
33493241,,4,7/04/2019,12/02/2019,,read,,,,1,
20643052,,0,,5/04/2019,to-read,to-read,,,,0,
39808468,1780899025,4,30/03/2019,25/03/2019,,read,,,,1,
38594019,1925584526,4,24/03/2019,7/07/2018,,read,,,,1,
37946414,031617663X,4,19/03/2019,27/10/2018,,read,,,,1,
37655505,1760632988,5,15/03/2019,28/07/2018,,read,"An excellent addition to the current offerings of Australian crime fiction, Scrublands tells the story of a small town in the Riverina, gripped by drought and having more than its fair share of secrets, beginning with the priest who shot five of his parishioners from the steps of the church on a Sunday morning.",,,2,
28006281,,4,,4/03/2019,kindle,read,,,,1,
39122892,751569348,4,,28/02/2019,kindle,read,,,,1,
34907939,,4,28/02/2019,19/02/2019,library,read,,,,1,
30328638,143797069,3,19/02/2019,17/02/2019,library,read,,,,1,
34885149,,3,,12/02/2019,,read,,,,1,
38530939,1451649398,4,10/02/2019,6/02/2019,library,read,,,,1,
18668971,1922079243,4,6/02/2019,1/08/2018,"kindle, crime",read,,,,1,
32867853,,4,30/01/2019,29/01/2019,,read,,,,1,
41731145,,4,29/01/2019,26/01/2019,kindle,read,,,,1,
28006278,,4,26/01/2019,14/01/2019,kindle,read,,,,1,
13642,553383043,4,14/01/2019,10/01/2019,kindle,read,,,,1,
2459785,143113496,4,9/01/2019,3/01/2019,owned,read,,,,1,
39808295,1743548125,1,,1/01/2019,,read,I gave up on this one on page 95. I'm usually quite happy to suspend belief when reading a book described as a thriller but this went a bit too far for me. It sounded so promising but didn't deliver for me.,,,1,
36896898,,5,30/12/2018,19/12/2018,library,read,"I thoroughly enjoyed this retelling of the Rumpelstiltskin fairy story, with some additional characters and plots, including a demon which inhabits the tsar of the kingdom. An excellent book.",,,1,
17947174,3952397075,3,19/12/2018,18/12/2018,kindle,read,,,,1,
19276251,,3,17/12/2018,13/12/2018,kindle,read,,,,1,
21033509,,3,,13/12/2018,,read,,,,1,
16177482,3952397008,0,13/12/2018,10/12/2018,kindle,read,,,,1,
42286350,,4,9/12/2018,4/12/2018,library,read,"A thorough examination of the state of cricket in Australia, this book looks at the administration of the game since the Argus review and finds it severely lacking. It is no wonder that the game has lost its way when the people in charge have little or no idea about it.",,,1,
36642458,,5,5/12/2018,29/11/2018,library,read,,,,1,
33378951,399593489,4,27/11/2018,10/01/2018,kindle,read,,,,1,
42410443,,5,23/11/2018,15/11/2018,kindle,read,"This is an excellent analysis of the current sorry state of the elite men's game in Australia. I fear it will be some time before it regains its standing, though there have been changes since this book was written, so there is a glimmer of hope. There is an excellent chapter on the way in  which women are treated,  and a close look at the board of Cricket Australia and some very shady goings on. There must be changes, and former cricketers must be involved,  replacing those who are professional members of boards and know little or nothing about cricket at the top level if at all.",,,1,
39863488,1250105684,5,15/11/2018,12/11/2018,kindle,read,,,,1,
38204691,1549142313,5,11/11/2018,6/11/2018,kindle,read,The only problem with finishing a Harry Bosch book is the wait before the next one. Harry is a favourite character and his new partnership with Renee Ballard is very promising.,,,1,
35618591,,5,6/11/2018,23/10/2018,library,read,"This is a marathon of a read, and worth every bit of it. The hardcover version is 623 pages, a very comprehensive telling of the Burke and Wills story. I knew the bare bones of the tragic expedition and now feel much better informed about it. The whole thing was doomed from the point that Burke was selected as leader, and the book details every misstep along the way. Peter Fitzsimons' style is always very readable, and his team of researchers have done their usual very thorough job.",,,1,
40134495,1760631205,0,,23/10/2018,to-read,to-read,,,,0,
36616154,,3,23/10/2018,15/03/2018,"library, kindle",read,,,,1,
39282131,1409176886,5,13/10/2018,10/10/2018,kindle,read,"Rebus is back, retired from the police, far from a well man, but still undeniably Rebus. Now for the wait for the next book, and the thought that it must come to an end one day.  May that day be long in coming.",,,1,
40122590,,0,,11/10/2018,to-read,to-read,,,,0,
28170940,751572853,4,26/09/2018,1/09/2018,kindle,read,,,,1,
169959,553563734,4,20/09/2018,10/09/2018,,read,,,,1,
13878,553588117,3,10/09/2018,3/09/2018,kindle,read,,,,1,
644655,312359667,4,1/09/2018,3/09/2018,kindle,read,,,,1,
29661618,,3,22/08/2018,18/08/2018,kindle,read,,,,1,
28077464,804192979,4,17/08/2018,10/01/2018,,read,,,,1,
36652100,733637930,4,12/08/2018,19/04/2018,kindle,read,,,,1,
32969083,399593578,0,,7/08/2018,to-read,to-read,,,,0,
17347336,802121969,3,6/08/2018,7/09/2013,kindle,read,,,,1,
23664710,593073894,4,28/07/2018,10/01/2018,kindle,read,,,,1,
317504,553561189,5,25/07/2018,19/07/2018,,read,"This is the third of the Empire books, a wonderful series set on Kelewan which is the other world involved in the Riftwar series. The books are full of well Dee developed characters and the society is very well drawn. Thoroughly enjoyed them all and highly recommend them to lovers of fantasy.",,,1,
9677554,316126403,3,10/07/2018,19/04/2018,kindle,read,"Not my favourite Joe O'Loughlin book, it takes a while for the dfferent stories to come together, and Joe plays a very minor role.",,,1,
35424630,1460754336,3,23/06/2018,18/06/2018,library,read,,,,1,
35279954,1925596141,3,15/06/2018,29/04/2018,library,read,"It was interesting to read a WW2 book from the point of view of a German girl, Lotte, who lived a life of privilege in Munich with her mother and stepfather. She was engaged to Heinrich, a medical student, and she really believed that Germany would win the war and life would continue as before. However, things go badly when the Allies invade and things begin to go awry. The book follows Lotte through the breakdown of the world she grew up in, and gives an idea of life on the other side.",,,1,
10002296,1451623496,3,11/06/2018,9/06/2018,kindle,read,,,,1,
13815,586203818,5,6/06/2018,18/09/2011,"owned, kindle",read,,,,2,
589979,055327211X,5,20/05/2018,16/05/2018,,read,,,,1,
196081,316010812,0,,18/05/2018,"to-read, tbr-library",to-read,,,,0,
35743047,525954341,5,13/05/2018,2/03/2018,kindle,read,"I've read all the Lynley books, and enjoyed them all, some more than others. This one has Inspector Lynley and Sergeant Havers back and in top form again. I was lucky enough to visit Ludlow briefly some years ago and really enjoyed rediscovering this beautiful town.",,,1,
36588482,143133128,5,5/05/2018,8/03/2018,kindle,read,"A very well written debut book, introducing Cormac Reilly, a detective sergeant in the Gardai. He has returned to Galway from Dublin, and very quickly finds himself re-visiting a case from his time there 20 years ago. I'm already looking forward to the next part of his story, love a good mystery series.",,,1,
34523078,733638457,0,,29/04/2018,to-read,to-read,,,,0,
35565298,62641093,4,29/04/2018,24/04/2018,library,read,,,,1,
34848682,62678418,4,21/04/2018,19/04/2018,library,read,"Psychological thriller about Dr Anna Fox, a child psychologist who is now agoraphobic after some traumatic event in the relatively recent past. She watches her neighbours through the zoom lens of her camera, drinks too much merlot, and is not strict about taking her pills. Then she meets her new neighbour and things go seriously wrong. This was a really gripping book, and I thoroughly enjoyed reading it.",,,1,
26030686,316267945,5,17/04/2018,13/04/2018,library,read,,,,1,
28006280,,4,11/04/2018,10/04/2018,kindle,read,,,,1,
20263040,804178747,4,31/03/2018,10/01/2018,kindle,read,,,,1,
34688603,399176748,0,,23/03/2018,dnf,dnf,,,,0,
35967101,1408889560,0,,24/03/2018,to-read,to-read,,,,0,
16243,316010707,0,,10/09/2017,"to-read, library-ebook",to-read,,,,0,
36478949,,4,23/03/2018,21/03/2018,library,read,"This book is all about characters and place. It is told from the point of view Stella and her mother in law Margie, who has had surrgery and comes to stay with Stella, her husband Ross and their two daughters Isolde and Jemima. We learn the story of Margie's life, which has not been full of joy, but has had its good moments. Stella is absorbed in applying for funding for her play, which leads to some tensions.<br/>I thoroughly enjoyed this book. It is slowpaced, the characters are beautifully drawn, and the place is described so well for the reader that we can hear the birds singing and see the dry countryside. Very satisfying read.",,,1,
33913895,62313134,5,20/03/2018,14/03/2018,library,read,"This is the amazing story is based on the life of Ella May Wiggins, who was murdered in 1929 because of her involvement with the textile union in North Carolina. I found it very enlightening about the beginnings of the union movement in the southern states of the US, about the conditions in which people lived and worked, and the total lack of any equality.<br/>Highly recommended for anyone interested in any of these things.",,,1,
35356382,1524760986,5,13/03/2018,5/01/2018,kindle,read,"This is the best book I've read for ages. It's a psychological thriller, set in two tomes and with a single narrator. Lots of twists and suspense, with such a good ending. Very well written, and highly recommended.",,,1,
13813,586066888,5,9/03/2018,2/09/2011,owned,read,,,,2,
149302,586064176,5,27/02/2018,2/09/2011,"owned, kindle",read,,,,2,
26829554,,3,12/02/2018,4/02/2018,library,read,,,,1,
34655731,,4,10/02/2018,5/02/2018,library,read,,,,1,
18739426,,4,5/02/2018,17/09/2017,library,read,,,,1,
13130788,670076406,3,29/01/2018,2/12/2017,kindle,read,,,,1,
16065004,765378558,0,9/01/2018,17/09/2017,library,read,,,,1,
36057399,,5,29/12/2017,24/12/2017,"library, aww2017",read,"This is the eighth book in the Rowland Sinclair series, and takes place in 1934, a very interesting time in Australia. There was widespread disbelief of the atrocities inn Nazi Germany, and panic about the rise of communism at home. <br/>A thoroughly enjoyable and enlightening series. I'm looking forward to the next instalment.",,,1,
29414640,,4,22/10/2016,14/10/2016,library,read,,,,1,
31116293,399163859,5,23/12/2017,15/12/2017,library,read,,,,1,
28952915,399593225,4,15/12/2017,11/12/2017,library-ebook,read,,,,1,
25074850,385354282,3,3/12/2017,30/11/2017,kindle,read,"While this book was quite ok in its own right, I found it lacking in the tension that was in the original series. It must be a hard task to write the next in a series such as this and in controversial circumstances to boot. Lisbeth was far from the centre of the action and didn't seem nearly as driven as she was before. I'll probably read the next book, but don't have the feeling of anticipation that was there in the first three.",,,1,
34975943,,3,26/11/2017,27/09/2017,"library, aww2017",read,"Nice light read about a group of women in the Northern Territory, and revolving particularly around life on Fairvale, a cattle station near Katherine - though 'near' is a relative term in the NT. It brings the women together in the context of a book club, and we learn a little about their lives and how they have come to be there.",,,1,
9622286,073229021X,5,24/11/2017,11/02/2017,"kindle, aww2017",read,"I really enjoyed this book, which tells the story of Matilda O'Halloran. We follow her story from a 12 year old who claims to be 14 so she can work in the jam factory, her journty to find her father, and her total change from a city girl to a young woman who loves the country and the land she lives on. I found the story very interesting, based solidly on fact and having a good cast of characters.",,,2,
28006276,,4,18/11/2017,14/11/2017,kindle,read,,,,1,
15783514,62255657,4,13/11/2017,2/08/2013,kindle,read,,,,1,
34273407,143783017,5,19/09/2017,16/09/2017,aww2017,read,"An interesting story of WW2, aongmwith a connection to a later period. Annabel receives a phone call from someone who claimed to be her grandmother, who, as far as Annabel knew, had disappeared and was supposed to be dead. So Annabel flies to England to discover the truth, which leads to the story of her grandmother's involvement with the secret services during WW2. This was a good read, taking us along some very interesting paths to the finale. I enjoyed the characters and the development of their various stories was quite well done.",,,1,
24737460,1460704673,4,21/09/2017,19/09/2017,"kindle, aww2017",read,"Dr Dody McCleland is an autopsy surgeon, who is called out to attend the Necropolis Railway Station in London, which has been bombed by her sister, who is a Suffragette.  Dody and her secret lover, Chief Inspector Pike, are taken on an investigation which includes some more Suffragette activity and leads eventually to a Home for Gentlewomen, where the treatments are more than somewhat suspect.<br/><br/>I enjoy these books, they give a good sense of London early in the 20th century, and particularly the plight of women who have very few, if any, rights in law.  The characters are interesting, and the period is well depicted, with all its flaws.",,,1,
30043642,,5,1/11/2017,30/10/2017,"kindle, aww2017",read,,,,1,
34275222,1250105633,4,10/11/2017,4/11/2017,"kindle, aww2017",read,,,,1,
34390820,,5,3/11/2017,1/11/2017,kindle,read,,,,1,
28006277,,4,29/10/2017,25/10/2017,,read,,,,1,
30688013,553392956,5,25/10/2017,9/10/2017,,read,,,,1,
23157777,553392921,5,8/10/2017,1/10/2017,kindle,read,,,,1,
19288321,553392425,5,2/10/2017,25/09/2017,kindle,read,"Fitz and the Fool are two of my favourite characters in fantasy. I've been saving this series to read them all together and now is the time. This is the first part of this trilogy, which is the third in the whole series. We've seen these characters develop from childhood to middle age, through adventures and hardships, to this latest venture. On to the next part.",,,1,
25989711,,4,25/09/2017,23/09/2017,kindle,read,,,,1,
10803121,765330423,4,16/09/2017,18/08/2017,library,read,"A very satisfactory addition to the world of Scadrial, set about 300 years after the original Mistborn trilogy. This story introduces Waxillium Ladrian, or Wax to many, and his colleague Wayne, who is a very interesting character in nis own right. Wax has been a lawman in the Rough for many years, and now returns to Elendel upon the death of his uncle and sister to take up the running of the family house and business. However he soon discovers that the city is not the safe place it seems. A mysterious gang of Vanishers has been robbing trains and causing problems for the various houses. A good fantasy novel, very readable.",,,1,
15759138,732294185,3,10/09/2017,25/08/2017,library,read,"When I started this book, I didn't realise that it was the first of a second trilogy by the author. However, I don't think this really mattered, as it seemed to be self-contained in this trilogy.  Just by the way, does anyone write single-volume fantasy any more?  That said, I quite enjoyed it, it's been quite a while since I read a proper fantasy and this one is definitely that.  It tells the stories of Sendatsu, an elf who is attempting to discover why elves and humans have been separated; Huw, a bard from Vales, who is trying to save his countrymen from the king of Forland; and Rhiannon, a dancer whose father has been trying to use her as a bargaining chip with the Forlish king.  It's a different concept, these elves are not your usual fantasy elves, and works well.",,,1,
10868182,000741949X,4,23/08/2017,19/08/2017,library,read,"After the previous book in the series, I was a little dubious about this one, but I'm very happy to say that it is up to the standard of the earlier books. Patrik and Erica are back, solving murders and discovering things about the life of Erica's mother. Altogether a very good read.",,,1,
10240160,7253990,3,18/08/2017,23/07/2017,library,read,"Not the best of the series so far, but still a good read. The 'who' wasn't hard to work out, which led to the rest of it.",,,1,
25932359,,4,15/08/2017,7/08/2017,kindle,read,,,,1,
34091380,316225983,5,8/08/2017,5/08/2017,kindle,read,"A new series by Michael Connelly is an exciting prospect. His Bosch series is one of my favourites, and this first book is a promising start to a new one.<br/>Renee Ballard is cut from the same cloth as Bosch, willing to follow her instincts to do her job. She is unconventional, working the late shift and sleeping in her tent on the beach during the day, guarded by her dog Lola. I'm looking forward to her next outing.",,,1,
25989708,,4,6/08/2017,3/08/2017,kindle,read,"Classic murder mystery of the 1930s. Bobby Owen is a detective sergeant at Scotland Yard, but this book finds him in the country attempting to solve the murder of an unidentified man. The plot develops into quite a tangle of swindlers, stolen bearer bonds, a night club called the Cut and Come Again,  and a cast of possibly quite nefarious characters. Altogether a good read for fanciers of this genre.",,,1,
6224742,7305931,3,3/08/2017,23/07/2017,,read,,,,1,
12681611,345528816,3,23/07/2017,20/07/2017,,read,,,,1,
17120087,749012447,3,20/07/2017,20/07/2017,library,read,,,,1,
12198216,074900990X,3,14/07/2017,11/07/2017,kindle,read,,,,1,
17605385,074901332X,3,11/07/2017,11/07/2017,library,read,,,,1,
30269104,1101906758,4,6/07/2017,2/07/2017,library,read,,,,1,
32508637,802126596,4,28/06/2017,25/03/2017,"library, aww2017",read,"I knew a little about the Lizzie Borden story before reading this book, which is based on those events. Did Lizzie kill her parents? Sarah Schmidt doesn't answer that question, but leads us to explore this very strange family with all its peculiarities. Lizzie and her older sister Emma live with their father Andrew and stepmother Abby, whom Lizzie has taken to calling Mrs Borden. Also in the house is the maid Bridget, an Irish girl who is not enjoying her service.  The daughters' uncle John, brother of their late mother, also appears, as does the rather mysterious Benjamin.  All of these, except uncle John, tell their parts of the story, a method which works very well in this book.<br/><br/>I found fhis a thought-provoking read, and enjoyed the insights into this family with all its oddities. It is beautifully written for the most part, though I found some of the writing a little odd at times, but that didn't detract from the overall quality of the book.",,,1,
28958455,1925240886,3,20/06/2017,25/03/2017,"aww2017, library",read,"I nearly gave up on this book,  but ended up finishing it. It turned out to be a decent read, without being spectacular. <br/>A lot of crime books recently are using the technique of telling two strands of the story, and this one does the same. We hear about Natalie, our protagonist, in third person sections, and from the antagonist in the first person, which is a little different and works quite well.<br/>I must say that it took a little while for me to warm to Natalie, and I'm still not convinced about her, but maybe the first book will give some help with that.<br/>The story is quite well told, and the ending has a little twist.",,,1,
16156294,034552893X,3,17/06/2017,16/06/2017,library-ebook,read,,,,1,
13414594,345528921,3,16/06/2017,15/06/2017,,read,,,,1,
6000352,670853593,4,14/06/2017,6/01/2014,"kindle, aww2017",read,,,,1,
25989715,,4,4/06/2017,3/06/2017,kindle,read,,,,1,
15777469,,3,29/05/2017,27/05/2017,"kindle, aww2017",read,,,,1,
23451464,1632862891,3,28/05/2017,25/05/2017,kindle,read,,,,1,
2664597,067007134X,4,25/05/2017,6/01/2014,"aww2017, kindle",read,,,,2,
47905,140295798,4,7/05/2017,6/01/2014,"kindle, aww2017",read,,,,2,
1466455,60586133,4,,14/04/2017,"library-ebook, aww2017",read,,,,1,
47907,765346222,4,14/04/2017,6/01/2014,"kindle, aww2017",read,,,,2,
47906,765342715,4,8/04/2017,6/01/2014,"kindle, aww2017",read,,,,2,
47916,765342677,4,5/04/2017,6/01/2014,"kindle, aww2017",read,,,,2,
22557272,,4,30/03/2017,30/03/2017,,read,,,,1,
536567,038540817X,5,13/10/2014,21/03/2017,,read,"It's very interesting reading about how others see us, and Bill Bryson's book is very entertaining indeed.  My favourite part is his description of our then Prime Minister, John Howard.<br/><br/>\"imagine a very committed funeral home director - someone whose burning ambition from the age of eleven was to be a funeral home director, whose proudest achievement in adulthood was to be elected president of the Queanbeyan and District Funeral Home Directors' Association - then halve his personality and halve it again, and you have pretty well got John Howard.\"<br/><br/>I do wonder, though, whether he would find us quite so open and welcoming now, 14 years after his book was published.  I think we may have changed in the meantime, and not necessarily for the better.",,,1,
26247008,1250069793,3,22/03/2017,22/03/2017,"library-ebook, aww2017",read,,,,1,
